UNICODE	文字	重複数	Win31J代表コード	Win31J副コード
85B0	薰	2	FB9E:#CJK UNIFIED IDEOGRAPH	EE82
8807	蠇	2	FBA1:#CJK UNIFIED IDEOGRAPH	EE85
88F5	裵	2	FBA2:#CJK UNIFIED IDEOGRAPH	EE86
891C	褜	2	FA5D:#CJK UNIFIED IDEOGRAPH	ED41
8A12	訒	2	FBA3:#CJK UNIFIED IDEOGRAPH	EE87
8A37	訷	2	FBA4:#CJK UNIFIED IDEOGRAPH	EE88
8A79	詹	2	FBA5:#CJK UNIFIED IDEOGRAPH	EE89
8AA7	誧	2	FBA6:#CJK UNIFIED IDEOGRAPH	EE8A
8ABE	誾	2	FBA7:#CJK UNIFIED IDEOGRAPH	EE8B
8ADF	諟	2	FBA8:#CJK UNIFIED IDEOGRAPH	EE8C
8AF6	諶	2	FBAA:#CJK UNIFIED IDEOGRAPH	EE8E
8B53	譓	2	FBAB:#CJK UNIFIED IDEOGRAPH	EE8F
8B7F	譿	2	FBAC:#CJK UNIFIED IDEOGRAPH	EE90
8CF0	賰	2	FBAD:#CJK UNIFIED IDEOGRAPH	EE91
8CF4	賴	2	FBAE:#CJK UNIFIED IDEOGRAPH	EE92
8D12	贒	2	FBAF:#CJK UNIFIED IDEOGRAPH	EE93
8D76	赶	2	FBB0:#CJK UNIFIED IDEOGRAPH	EE94
8ECF	軏	2	FBB2:#CJK UNIFIED IDEOGRAPH	EE96
9067	遧	2	FBB5:#CJK UNIFIED IDEOGRAPH	EE99
90DE	郞	2	FBB6:#CJK UNIFIED IDEOGRAPH	EE9A
9115	鄕	2	FBB8:#CJK UNIFIED IDEOGRAPH	EE9C
9127	鄧	2	FBB9:#CJK UNIFIED IDEOGRAPH	EE9D
91D7	釗	2	FBBB:#CJK UNIFIED IDEOGRAPH	EE9F
91DA	釚	2	FBBA:#CJK UNIFIED IDEOGRAPH	EE9E
91DE	釞	2	FBBC:#CJK UNIFIED IDEOGRAPH	EEA0
91E4	釤	2	FBBF:#CJK UNIFIED IDEOGRAPH	EEA3
91E5	釥	2	FBC0:#CJK UNIFIED IDEOGRAPH	EEA4
91ED	釭	2	FBBD:#CJK UNIFIED IDEOGRAPH	EEA1
91EE	釮	2	FBBE:#CJK UNIFIED IDEOGRAPH	EEA2
9206	鈆	2	FBC1:#CJK UNIFIED IDEOGRAPH	EEA5
920A	鈊	2	FBC3:#CJK UNIFIED IDEOGRAPH	EEA7
9210	鈐	2	FBC2:#CJK UNIFIED IDEOGRAPH	EEA6
9239	鈹	2	FBCA:#CJK UNIFIED IDEOGRAPH	EEAE
923A	鈺	2	FBC4:#CJK UNIFIED IDEOGRAPH	EEA8
923C	鈼	2	FBC6:#CJK UNIFIED IDEOGRAPH	EEAA
9240	鉀	2	FBC5:#CJK UNIFIED IDEOGRAPH	EEA9
924E	鉎	2	FBC7:#CJK UNIFIED IDEOGRAPH	EEAB
9251	鉑	2	FBC9:#CJK UNIFIED IDEOGRAPH	EEAD
9259	鉙	2	FBC8:#CJK UNIFIED IDEOGRAPH	EEAC
9267	鉧	2	FBCB:#CJK UNIFIED IDEOGRAPH	EEAF
9277	鉷	2	FBCD:#CJK UNIFIED IDEOGRAPH	EEB1
9278	鉸	2	FBCE:#CJK UNIFIED IDEOGRAPH	EEB2
9288	銈	2	FA5F:#CJK UNIFIED IDEOGRAPH	ED43
92A7	銧	2	FBCC:#CJK UNIFIED IDEOGRAPH	EEB0
92D0	鋐	2	FBD2:#CJK UNIFIED IDEOGRAPH	EEB6
92D3	鋓	2	FBD6:#CJK UNIFIED IDEOGRAPH	EEBA
92D5	鋕	2	FBD4:#CJK UNIFIED IDEOGRAPH	EEB8
92D7	鋗	2	FBD0:#CJK UNIFIED IDEOGRAPH	EEB4
92D9	鋙	2	FBD1:#CJK UNIFIED IDEOGRAPH	EEB5
92E0	鋠	2	FBD5:#CJK UNIFIED IDEOGRAPH	EEB9
92E7	鋧	2	FBCF:#CJK UNIFIED IDEOGRAPH	EEB3
92F9	鋹	2	FA65:#CJK UNIFIED IDEOGRAPH	ED49
92FB	鋻	2	FBD9:#CJK UNIFIED IDEOGRAPH	EEBD
92FF	鋿	2	FBDC:#CJK UNIFIED IDEOGRAPH	EEC0
9302	錂	2	FBDE:#CJK UNIFIED IDEOGRAPH	EEC2
931D	錝	2	FBDD:#CJK UNIFIED IDEOGRAPH	EEC1
931E	錞	2	FBDB:#CJK UNIFIED IDEOGRAPH	EEBF
9321	錡	2	FBD8:#CJK UNIFIED IDEOGRAPH	EEBC
9325	錥	2	FBD7:#CJK UNIFIED IDEOGRAPH	EEBB
9348	鍈	2	FA5E:#CJK UNIFIED IDEOGRAPH	ED42
9357	鍗	2	FBE0:#CJK UNIFIED IDEOGRAPH	EEC4
9370	鍰	2	FBDF:#CJK UNIFIED IDEOGRAPH	EEC3
93A4	鎤	2	FBE1:#CJK UNIFIED IDEOGRAPH	EEC5
93C6	鏆	2	FBE2:#CJK UNIFIED IDEOGRAPH	EEC6
93DE	鏞	2	FBE3:#CJK UNIFIED IDEOGRAPH	EEC7
93F8	鏸	2	FBE4:#CJK UNIFIED IDEOGRAPH	EEC8
9431	鐱	2	FBE5:#CJK UNIFIED IDEOGRAPH	EEC9
9445	鑅	2	FBE6:#CJK UNIFIED IDEOGRAPH	EECA
9448	鑈	2	FBE7:#CJK UNIFIED IDEOGRAPH	EECB
9592	閒	2	FBE8:#CJK UNIFIED IDEOGRAPH	EECC
969D	隝	2	FBEB:#CJK UNIFIED IDEOGRAPH	EECF
96AF	隯	2	FBEC:#CJK UNIFIED IDEOGRAPH	EED0
9733	霳	2	FBED:#CJK UNIFIED IDEOGRAPH	EED1
973B	霻	2	FBEE:#CJK UNIFIED IDEOGRAPH	EED2
9743	靃	2	FBEF:#CJK UNIFIED IDEOGRAPH	EED3
974D	靍	2	FBF0:#CJK UNIFIED IDEOGRAPH	EED4
974F	靏	2	FBF1:#CJK UNIFIED IDEOGRAPH	EED5
9751	靑	2	FBF2:#CJK UNIFIED IDEOGRAPH	EED6
9755	靕	2	FBF3:#CJK UNIFIED IDEOGRAPH	EED7
9857	顗	2	FBF4:#CJK UNIFIED IDEOGRAPH	EED8
9865	顥	2	FBF5:#CJK UNIFIED IDEOGRAPH	EED9
9927	餧	2	FBF8:#CJK UNIFIED IDEOGRAPH	EEDC
999E	馞	2	FBFA:#CJK UNIFIED IDEOGRAPH	EEDE
9A4E	驎	2	FBFB:#CJK UNIFIED IDEOGRAPH	EEDF
9AD9	髙	2	FBFC:#CJK UNIFIED IDEOGRAPH	EEE0
9ADC	髜	2	FC40:#CJK UNIFIED IDEOGRAPH	EEE1
9B72	魲	2	FC42:#CJK UNIFIED IDEOGRAPH	EEE3
9B75	魵	2	FC41:#CJK UNIFIED IDEOGRAPH	EEE2
9B8F	鮏	2	FC43:#CJK UNIFIED IDEOGRAPH	EEE4
9BB1	鮱	2	FC44:#CJK UNIFIED IDEOGRAPH	EEE5
9BBB	鮻	2	FC45:#CJK UNIFIED IDEOGRAPH	EEE6
9C00	鰀	2	FC46:#CJK UNIFIED IDEOGRAPH	EEE7
9D6B	鵫	2	FC48:#CJK UNIFIED IDEOGRAPH	EEE9
9D70	鵰	2	FC47:#CJK UNIFIED IDEOGRAPH	EEE8
9E19	鸙	2	FC4A:#CJK UNIFIED IDEOGRAPH	EEEB
9ED1	黑	2	FC4B:#CJK UNIFIED IDEOGRAPH	EEEC
F929	朗	2	FAE0:#CJK COMPATIBILITY IDEOGRAPH	EDC4
F9DC	隆	2	FBE9:#CJK COMPATIBILITY IDEOGRAPH	EECD
